"Lebanon","2 (1)","0 (0)","1 (0)","0 (0)","1 (1)","0 (0)"
"Pakistan","2 (2)","0 (0)","2 (2)","0 (0)","0 (0)","0 (0)"
"Afghanistan","1 (0)","0 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"Egypt","1 (0)","0 (0)","0 (0)","1 (0)","0 (0)","0 (0)"
"African Region","","","","","",""
"Algeria 
1 (0) 
0 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0)","","","","","",""
"","","","","","",""
"Subtotal for all regions","2959 (732)","181 (2)","200 (71)","1005 (16)","1573 (643)","53 (12)"
"International 
conveyance‡ (Diamond 
Princess)","705 (14)","0 (0)","0 (0)","0 (0)","0 (0)","4 (1)"
"Grand total§","3664 (746)","181 (2)","200 (71)","1005 (16)","1573 (643)","57 (13)"
