"","Announcement posted on the WHO Event Information Site (EIS)","","","","","TOTAL"
"WHO Region","6 February","12 February","21 February","28 February","5 March",""
"African Region","-","1","-","-","-","1"
"Region of the 
Americas","10","2","-","-","1* 
5* updates","13"
"Eastern 
Mediterranean 
Region","-","1","-","1* 
1* update","1*","3"
"European Region","2","1","2","5 (3*) 
1* update","2*","12"
"South-East Asia 
Region","1","","","","","1"
"Western Pacific 
Region","9","3","2","1* 
6* updates","- 
8* updates","15"
"TOTAL","22","8","4","7","4","45"
